Godina,Ukupno,Muški,Ženski
2015,57,27,30
2016,64,34,30
2017,65,33,32
2018,70,41,29
2019,83,41,42
2020,81,41,40
2021,80,40,40
2022,101,49,52
2023,143,70,73
2024,152,76,76
