Godina,Instalirani kapaciteti za proizvodnju obnovljive energije (MW)
2012,2332
2013,2475
2014,2577
2015,2713
2016,2793
2017,2916
2018,2979
2019,3068
2020,3255
2021,3490
2022,3585
2023,3973
2024,4403
